word,ipa,language_code,part_of_speech,lemma,image_url,card_count,pronunciation,definition,example_sentence,example_translation
student,ˈstuːdənt,en,Noun,student,images/nouns/student.png,3,STUDENT,"A person who is studying at a school, college, or university.",The student completed their homework on time.,El estudiante completó su tarea a tiempo.
the,ðə,en,Article,the,images/articles/the.png,5,THE,Used to refer to a specific thing previously mentioned or known.,The dog barked loudly at the stranger.,El perro ladró fuerte al extraño.
student,ˈstuːdənt,en,Noun,student,images/nouns/student.png,3,STUDENT,"A person who is studying at a school, college, or university.",The student completed their homework on time.,El estudiante completó su tarea a tiempo.
student,ˈstuːdənt,en,Noun,student,images/nouns/student.png,3,STUDENT,"A person who is studying at a school, college, or university.",The student completed their homework on time.,El estudiante completó su tarea a tiempo.
see,siː,en,Verb,see,images/verbs/see.png,3,SEE,To perceive with the eyes; to look at something.,Can you see the stars in the sky?,¿Puedes ver las estrellas en el cielo?
phone,foʊn,en,Noun,phone,images/nouns/phone.png,3,PHONE,Definition of phone,I need to charge my phone.,Necesito cargar mi teléfono.
green,griːn,en,Adjective,green,images/adjectives/green.png,2,GREEN,Definition of green,The leaves are green.,Las hojas son verdes.
cat,kæt,en,Noun,cat,images/nouns/cat.png,3,CAT,Definition of cat,The cat is sleeping on the sofa.,El gato está durmiendo en el sofá.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
phone,foʊn,en,Noun,phone,images/nouns/phone.png,3,PHONE,Definition of phone,I need to charge my phone.,Necesito cargar mi teléfono.
garden,ˈgɑːrdən,en,Noun,garden,images/nouns/garden.png,3,GARDEN,Definition of garden,I watered the flowers in the garden.,Regué las flores en el jardín.
small,smɔl,en,Adjective,small,images/adjectives/small.png,2,SMALL,Definition of small,She has a small dog.,Ella tiene un perro pequeño.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
student,ˈstuːdənt,en,Noun,student,images/nouns/student.png,3,STUDENT,"A person who is studying at a school, college, or university.",The student completed their homework on time.,El estudiante completó su tarea a tiempo.
the,ðə,en,Article,the,images/articles/the.png,5,THE,Used to refer to a specific thing previously mentioned or known.,The dog barked loudly at the stranger.,El perro ladró fuerte al extraño.
an,æn,en,Article,an,images/articles/an.png,5,AN,Definition of an,No example available.,No translation available.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
dog,dɒg,en,Noun,dog,images/nouns/dog.png,3,DOG,Definition of dog,The dog is playing in the park.,El perro está jugando en el parque.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
garden,ˈgɑːrdən,en,Noun,garden,images/nouns/garden.png,3,GARDEN,Definition of garden,I watered the flowers in the garden.,Regué las flores en el jardín.
red,rɛd,en,Adjective,red,images/adjectives/red.png,2,RED,Definition of red,No example available.,No translation available.
happy,ˈhæpi,en,Adjective,happy,images/adjectives/happy.png,2,HAPPY,Definition of happy,I am happy to see you.,Estoy feliz de verte.
a,ə,en,Article,a,images/articles/a.png,5,A,Definition of a,A dog is barking outside.,Un perro está ladrando afuera.
reads,riːdz,en,Verb,read,images/verbs/reads.png,3,READS,Definition of reads,She reads a book every night.,Ella lee un libro todas las noches.
